2.68824	5.83824	4.14412	1.27941

3	6.6	4.4	1.4
2.2	6	5	1.5
2	5	3.5	1
2.9	6.1	4.7	1.4
2.9	5.7	4.2	1.3
2.9	6.4	4.3	1.3
2.3	5	3.3	1
2.5	5.5	4	1.3
2.3	6.3	4.4	1.3
2.9	6.6	4.6	1.3
2.7	5.8	4.1	1
2.8	6.1	4	1.3
2.6	5.8	4	1.2
2.5	4.9	4.5	1.7
2.6	5.5	4.4	1.2
2.8	6.5	4.6	1.5
2.4	5.5	3.7	1
3	6.1	4.6	1.4
2.8	5.7	4.1	1.3
3.1	6.7	4.4	1.4
2.3	5.5	4	1.3
2.6	5.7	3.5	1
3	5.9	4.2	1.5
2.9	5.6	3.6	1.3
2.7	5.8	3.9	1.2
2.7	5.2	3.9	1.4
2.8	6.1	4.7	1.2
3	5.6	4.1	1.3
2.2	6	4	1
2.9	6.2	4.3	1.3
2.5	5.1	3	1.1
3.2	6.4	4.5	1.5
2.9	6	4.5	1.5
2.5	5.6	3.9	1.1
