22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	22.9897	
14.4549	14.3927	14.4502	14.4394	14.4218	14.4532	14.3922	14.4098	14.4475	14.4131	14.4479	14.4172	14.4333	14.4196	14.4404	14.4254	14.3952	14.4428	14.4433	14.4521	14.418	14.45	14.4556	14.4424	14.3543	
13.12	13.0751	13.0282	13.051	12.8718	13.0796	13.1616	13.0473	12.9626	13.0569	13.0343	12.854	12.8617	13.0666	12.9556	13.1304	13.0112	13.0362	12.9806	13.0327	13.2182	13.0872	13.1495	13.0233	12.8753	
12.26	12.0834	12.0544	12.0847	11.9145	11.8155	12.2192	12.117	12.1016	11.975	12.0447	11.8535	11.9429	12.1868	11.8416	12.1057	11.9173	12.0652	11.9746	12.1145	12.277	12.1208	12.2006	11.9226	11.718	
11.3934	11.1044	11.2385	11.2194	10.9981	10.613	11.2696	11.1417	11.2873	11.0096	11.2274	11.1101	10.9903	11.2825	10.9387	11.2216	10.9418	11.013	11.1172	11.1377	11.4325	11.1983	11.289	10.9778	10.9841	
10.567	10.3571	10.4717	10.5109	10.2763	9.77979	10.5144	10.4802	10.6205	10.2644	10.5011	10.2993	10.342	10.4818	10.3329	10.4535	10.1557	10.4142	10.4458	10.4795	10.7257	10.4928	10.4881	10.4164	10.2762	
9.89751	9.80053	9.81942	9.92451	9.63072	9.30842	9.99101	9.90647	9.92517	9.81091	9.86696	9.71546	9.89667	9.80296	9.80512	9.8611	9.58571	9.88542	9.90903	9.91552	10.0156	9.76643	9.89019	9.82259	9.75305	
9.29763	9.25165	9.20345	9.42959	9.11709	8.9577	9.41947	9.37196	9.28092	9.35464	9.32539	9.18458	9.44253	9.40308	9.31617	9.39786	9.19765	9.42694	9.31312	9.46344	9.44961	9.26382	9.38599	9.38753	9.28769	
8.90507	8.78483	8.83165	8.95248	8.71024	8.63717	8.94312	8.86935	8.90024	8.92888	8.9713	8.76741	9.01345	8.99509	8.8871	8.99798	8.79596	8.89829	8.89859	9.09895	9.00023	8.87428	9.04768	8.97852	8.8343	
8.60744	8.36674	8.53457	8.59134	8.40402	8.44717	8.49692	8.38206	8.54322	8.60266	8.5587	8.49028	8.65701	8.56575	8.56796	8.58028	8.46884	8.48522	8.60849	8.6825	8.57365	8.47898	8.79766	8.58022	8.5496	
