3.40168	5.00244	1.45434	0.249799		2.71605	5.84813	4.20077	1.30988		3.01558	6.55442	5.4005	1.99333		
3.40107	5.0025	1.45532	0.250267		2.72699	5.87524	4.23589	1.32437		3.02549	6.57385	5.43415	2.01591		
3.40109	5.0025	1.45529	0.250253		2.7267	5.87453	4.235	1.324		3.0253	6.57348	5.43349	2.01545		
3.40107	5.0025	1.45533	0.250271		2.72706	5.87542	4.23612	1.32446		3.02553	6.57394	5.43432	2.01603		
3.40106	5.0025	1.45535	0.250277		2.7272	5.87575	4.23655	1.32464		3.02562	6.57411	5.43464	2.01624		
3.40084	5.00252	1.4557	0.25044		2.73041	5.88348	4.2464	1.32872		3.02771	6.57814	5.44195	2.02127		
3.40107	5.0025	1.45533	0.25027		2.72706	5.8754	4.2361	1.32445		3.02553	6.57393	5.43431	2.01602		
3.40106	5.0025	1.45534	0.250276		2.72717	5.87568	4.23645	1.3246		3.0256	6.57407	5.43457	2.0162		
3.40108	5.0025	1.45531	0.250262		2.7269	5.87502	4.23562	1.32426		3.02543	6.57373	5.43395	2.01577		
3.40202	5.00244	1.45385	0.249565		2.70964	5.83262	4.18258	1.30281		3.01109	6.54576	5.38331	1.98155		
3.40107	5.0025	1.45534	0.250273		2.72712	5.87554	4.23628	1.32453		3.02557	6.574	5.43444	2.01611		
3.40109	5.0025	1.4553	0.250256		2.72677	5.87471	4.23522	1.32409		3.02534	6.57357	5.43365	2.01556		
3.40106	5.0025	1.45534	0.250274		2.72714	5.87559	4.23635	1.32456		3.02558	6.57403	5.43449	2.01614		
3.4011	5.0025	1.45529	0.250251		2.72667	5.87447	4.23493	1.32397		3.02528	6.57345	5.43343	2.01541		
3.40083	5.00252	1.45571	0.250444		2.73049	5.88367	4.24663	1.32881		3.02775	6.57821	5.4421	2.02138		
3.40106	5.0025	1.45534	0.250277		2.72719	5.87571	4.23649	1.32461		3.02561	6.57409	5.4346	2.01622		
3.40108	5.0025	1.45531	0.250259		2.72684	5.87488	4.23543	1.32418		3.02539	6.57366	5.43381	2.01567		
3.40108	5.0025	1.45532	0.250264		2.72694	5.87512	4.23574	1.32431		3.02545	6.57378	5.43404	2.01583		
3.40087	5.00252	1.45565	0.250418		2.72999	5.88245	4.24503	1.32814		3.02739	6.57752	5.44089	2.02055		
3.40123	5.00248	1.45506	0.250142		2.72434	5.86873	4.22722	1.32073		3.02319	6.56931	5.42655	2.01081		
3.40106	5.0025	1.45534	0.250277		2.72719	5.87571	4.2365	1.32462		3.02561	6.57409	5.43461	2.01622		
3.40106	5.0025	1.45535	0.250277		2.7272	5.87575	4.23654	1.32463		3.02562	6.57411	5.43464	2.01624		
3.40086	5.00252	1.45566	0.250423		2.73008	5.88267	4.24535	1.32828		3.02748	6.57769	5.44115	2.02073		
3.40108	5.0025	1.45531	0.25026		2.72684	5.87488	4.23544	1.32418		3.02539	6.57366	5.43381	2.01567		
3.4011	5.0025	1.45528	0.250249		2.72662	5.87434	4.23475	1.3239		3.02524	6.57338	5.4333	2.01532		
