3.4011	5.0025	1.45528	0.250249

2.9	4.4	1.4	0.2
3.4	5	1.6	0.4
3.6	5	1.4	0.2
3	4.4	1.3	0.2
3.2	4.6	1.4	0.2
3.5	5.1	1.4	0.2
3.9	5.4	1.7	0.4
3.4	5	1.5	0.2
3.2	4.4	1.3	0.2
3.5	5	1.6	0.6
3	4.8	1.4	0.3
3.4	5.2	1.4	0.2
3.5	5.5	1.3	0.2
4	5.8	1.2	0.2
4.4	5.7	1.5	0.4
3.7	5.4	1.5	0.2
3.7	5.3	1.5	0.2
3.4	5.4	1.5	0.4
3.5	5.1	1.4	0.3
3.2	4.7	1.3	0.2
3.5	5	1.3	0.3
3.1	4.9	1.5	0.1
3	4.3	1.1	0.1
3.6	4.9	1.4	0.1
3.4	5.1	1.5	0.2
3.4	4.8	1.9	0.2
2.3	4.5	1.3	0.3
3.3	5	1.4	0.2
4.2	5.5	1.4	0.2
3.4	4.6	1.4	0.3
3.7	5.1	1.5	0.4
3	4.9	1.4	0.2
3.8	5.7	1.7	0.3
3	5	1.6	0.2
3.4	5.4	1.7	0.2
3.3	5.1	1.7	0.5
3	4.8	1.4	0.1
3.1	4.6	1.5	0.2
3.6	4.6	1	0.2
3.9	5.4	1.3	0.4
4.1	5.2	1.5	0.1
3.1	4.9	1.5	0.2
3.2	5	1.2	0.2
3.4	4.8	1.6	0.2
