centroid: 2.65, 5.63333, 4.00556, 1.24444
2.9, 5.7, 4.2, 1.3
2.5, 5.5, 4, 1.3
2.7, 5.8, 4.1, 1
2.8, 6.1, 4, 1.3
2.6, 5.8, 4, 1.2
2.5, 4.9, 4.5, 1.7
2.6, 5.5, 4.4, 1.2
2.4, 5.5, 3.7, 1
2.8, 5.7, 4.1, 1.3
2.3, 5.5, 4, 1.3
2.6, 5.7, 3.5, 1
3, 5.9, 4.2, 1.5
2.9, 5.6, 3.6, 1.3
2.7, 5.8, 3.9, 1.2
2.7, 5.2, 3.9, 1.4
3, 5.6, 4.1, 1.3
2.2, 6, 4, 1
2.5, 5.6, 3.9, 1.1

centroid: 2.94706, 6.44118, 4.58235, 1.41765
3, 6.6, 4.4, 1.4
3.2, 7, 4.7, 1.4
2.9, 6.1, 4.7, 1.4
3, 6.7, 5, 1.7
2.8, 6.8, 4.8, 1.4
2.9, 6.4, 4.3, 1.3
2.3, 6.3, 4.4, 1.3
2.9, 6.6, 4.6, 1.3
3.1, 6.7, 4.7, 1.5
2.8, 6.5, 4.6, 1.5
3, 6.1, 4.6, 1.4
3.1, 6.7, 4.4, 1.4
2.8, 6.1, 4.7, 1.2
2.9, 6.2, 4.3, 1.3
3.3, 6.3, 4.7, 1.6
3.2, 6.4, 4.5, 1.5
2.9, 6, 4.5, 1.5

centroid: 2.26667, 5.03333, 3.26667, 1.03333
2, 5, 3.5, 1
2.3, 5, 3.3, 1
2.5, 5.1, 3, 1.1

centroid: 3.24194, 4.82258, 1.42258, 0.232258
2.9, 4.4, 1.4, 0.2
3.4, 5, 1.6, 0.4
3.6, 5, 1.4, 0.2
3, 4.4, 1.3, 0.2
3.2, 4.6, 1.4, 0.2
3.5, 5.1, 1.4, 0.2
3.4, 5, 1.5, 0.2
3.2, 4.4, 1.3, 0.2
3.5, 5, 1.6, 0.6
3, 4.8, 1.4, 0.3
3.4, 5.2, 1.4, 0.2
3.5, 5.1, 1.4, 0.3
3.2, 4.7, 1.3, 0.2
3.5, 5, 1.3, 0.3
3.1, 4.9, 1.5, 0.1
3, 4.3, 1.1, 0.1
3.6, 4.9, 1.4, 0.1
3.4, 5.1, 1.5, 0.2
3.4, 4.8, 1.9, 0.2
2.3, 4.5, 1.3, 0.3
3.3, 5, 1.4, 0.2
3.4, 4.6, 1.4, 0.3
3, 4.9, 1.4, 0.2
3, 5, 1.6, 0.2
3.3, 5.1, 1.7, 0.5
3, 4.8, 1.4, 0.1
3.1, 4.6, 1.5, 0.2
3.6, 4.6, 1, 0.2
3.1, 4.9, 1.5, 0.2
3.2, 5, 1.2, 0.2
3.4, 4.8, 1.6, 0.2

centroid: 2.74286, 6.05714, 5.05, 1.75714
2.8, 6.2, 4.8, 1.8
2.2, 6, 5, 1.5
2.8, 5.8, 5.1, 2.4
2.7, 6, 5.1, 1.6
2.5, 6.3, 4.9, 1.5
2.7, 6.3, 4.9, 1.8
3, 5.9, 5.1, 1.8
2.7, 5.8, 5.1, 1.9
3.2, 5.9, 4.8, 1.8
3, 6, 4.8, 1.8
2.6, 6.1, 5.6, 1.4
2.8, 6.3, 5.1, 1.5
2.7, 5.8, 5.1, 1.9
2.7, 6.4, 5.3, 1.9

centroid: 3.07895, 6.55789, 5.52632, 2.17368
2.9, 6.3, 5.6, 1.8
2.8, 6.4, 5.6, 2.1
3.1, 6.9, 5.4, 2.1
3, 6.5, 5.8, 2.2
3.4, 6.3, 5.6, 2.4
3.2, 6.4, 5.3, 2.3
3.3, 6.7, 5.7, 2.5
3, 6.7, 5.2, 2.3
3, 6.8, 5.5, 2.1
2.8, 6.4, 5.6, 2.2
3, 6.5, 5.2, 2
3.2, 6.5, 5.1, 2
3.1, 6.4, 5.5, 1.8
3.2, 6.9, 5.7, 2.3
3.3, 6.3, 6, 2.5
2.5, 6.7, 5.8, 1.8
3.2, 6.8, 5.9, 2.3
3.1, 6.9, 5.1, 2.3
3.4, 6.2, 5.4, 2.3

centroid: 3.82308, 5.44615, 1.48462, 0.276923
3.9, 5.4, 1.7, 0.4
3.5, 5.5, 1.3, 0.2
4, 5.8, 1.2, 0.2
4.4, 5.7, 1.5, 0.4
3.7, 5.4, 1.5, 0.2
3.7, 5.3, 1.5, 0.2
3.4, 5.4, 1.5, 0.4
4.2, 5.5, 1.4, 0.2
3.7, 5.1, 1.5, 0.4
3.8, 5.7, 1.7, 0.3
3.4, 5.4, 1.7, 0.2
3.9, 5.4, 1.3, 0.4
4.1, 5.2, 1.5, 0.1

centroid: 3.24, 7.42, 6.18, 2.04
3.6, 7.2, 6.1, 2.5
2.8, 7.7, 6.7, 2
3, 7.2, 5.8, 1.6
3.8, 7.9, 6.4, 2
3, 7.1, 5.9, 2.1

