centroid: 3.04762, 6.51429, 5.49524, 2.17143
2.9, 6.3, 5.6, 1.8
2.8, 5.8, 5.1, 2.4
2.8, 6.4, 5.6, 2.1
3.1, 6.9, 5.4, 2.1
3, 6.5, 5.8, 2.2
3.4, 6.3, 5.6, 2.4
3.2, 6.4, 5.3, 2.3
3.3, 6.7, 5.7, 2.5
3, 6.7, 5.2, 2.3
3, 6.8, 5.5, 2.1
2.8, 6.4, 5.6, 2.2
3, 6.5, 5.2, 2
3.2, 6.5, 5.1, 2
3.1, 6.4, 5.5, 1.8
3.2, 6.9, 5.7, 2.3
3.3, 6.3, 6, 2.5
2.5, 6.7, 5.8, 1.8
3.2, 6.8, 5.9, 2.3
3.1, 6.9, 5.1, 2.3
3.4, 6.2, 5.4, 2.3
2.7, 6.4, 5.3, 1.9

centroid: 2.59524, 5.54762, 3.9, 1.21429
2, 5, 3.5, 1
2.9, 5.7, 4.2, 1.3
2.3, 5, 3.3, 1
2.5, 5.5, 4, 1.3
2.7, 5.8, 4.1, 1
2.8, 6.1, 4, 1.3
2.6, 5.8, 4, 1.2
2.5, 4.9, 4.5, 1.7
2.6, 5.5, 4.4, 1.2
2.4, 5.5, 3.7, 1
2.8, 5.7, 4.1, 1.3
2.3, 5.5, 4, 1.3
2.6, 5.7, 3.5, 1
3, 5.9, 4.2, 1.5
2.9, 5.6, 3.6, 1.3
2.7, 5.8, 3.9, 1.2
2.7, 5.2, 3.9, 1.4
3, 5.6, 4.1, 1.3
2.2, 6, 4, 1
2.5, 5.1, 3, 1.1
2.5, 5.6, 3.9, 1.1

centroid: 2.86207, 6.27931, 4.76552, 1.53103
3, 6.6, 4.4, 1.4
3.2, 7, 4.7, 1.4
2.8, 6.2, 4.8, 1.8
2.2, 6, 5, 1.5
2.9, 6.1, 4.7, 1.4
3, 6.7, 5, 1.7
2.8, 6.8, 4.8, 1.4
2.9, 6.4, 4.3, 1.3
2.7, 6, 5.1, 1.6
2.3, 6.3, 4.4, 1.3
2.5, 6.3, 4.9, 1.5
2.9, 6.6, 4.6, 1.3
2.7, 6.3, 4.9, 1.8
3, 5.9, 5.1, 1.8
3.1, 6.7, 4.7, 1.5
2.8, 6.5, 4.6, 1.5
2.7, 5.8, 5.1, 1.9
3.2, 5.9, 4.8, 1.8
3, 6, 4.8, 1.8
3, 6.1, 4.6, 1.4
3.1, 6.7, 4.4, 1.4
2.8, 6.1, 4.7, 1.2
2.6, 6.1, 5.6, 1.4
2.8, 6.3, 5.1, 1.5
2.9, 6.2, 4.3, 1.3
2.7, 5.8, 5.1, 1.9
3.3, 6.3, 4.7, 1.6
3.2, 6.4, 4.5, 1.5
2.9, 6, 4.5, 1.5

centroid: 3.65833, 5.2625, 1.47917, 0.283333
3.4, 5, 1.6, 0.4
3.6, 5, 1.4, 0.2
3.5, 5.1, 1.4, 0.2
3.9, 5.4, 1.7, 0.4
3.4, 5, 1.5, 0.2
3.5, 5, 1.6, 0.6
3.4, 5.2, 1.4, 0.2
3.5, 5.5, 1.3, 0.2
4, 5.8, 1.2, 0.2
4.4, 5.7, 1.5, 0.4
3.7, 5.4, 1.5, 0.2
3.7, 5.3, 1.5, 0.2
3.4, 5.4, 1.5, 0.4
3.5, 5.1, 1.4, 0.3
3.5, 5, 1.3, 0.3
3.6, 4.9, 1.4, 0.1
3.4, 5.1, 1.5, 0.2
4.2, 5.5, 1.4, 0.2
3.7, 5.1, 1.5, 0.4
3.8, 5.7, 1.7, 0.3
3.4, 5.4, 1.7, 0.2
3.3, 5.1, 1.7, 0.5
3.9, 5.4, 1.3, 0.4
4.1, 5.2, 1.5, 0.1

centroid: 3.24, 7.42, 6.18, 2.04
3.6, 7.2, 6.1, 2.5
2.8, 7.7, 6.7, 2
3, 7.2, 5.8, 1.6
3.8, 7.9, 6.4, 2
3, 7.1, 5.9, 2.1

centroid: 3.12, 4.7, 1.395, 0.2
2.9, 4.4, 1.4, 0.2
3, 4.4, 1.3, 0.2
3.2, 4.6, 1.4, 0.2
3.2, 4.4, 1.3, 0.2
3, 4.8, 1.4, 0.3
3.2, 4.7, 1.3, 0.2
3.1, 4.9, 1.5, 0.1
3, 4.3, 1.1, 0.1
3.4, 4.8, 1.9, 0.2
2.3, 4.5, 1.3, 0.3
3.3, 5, 1.4, 0.2
3.4, 4.6, 1.4, 0.3
3, 4.9, 1.4, 0.2
3, 5, 1.6, 0.2
3, 4.8, 1.4, 0.1
3.1, 4.6, 1.5, 0.2
3.6, 4.6, 1, 0.2
3.1, 4.9, 1.5, 0.2
3.2, 5, 1.2, 0.2
3.4, 4.8, 1.6, 0.2

