3.00714	6.52381	5.36905	1.95714

3.2	7	4.7	1.4
2.8	6.2	4.8	1.8
3.6	7.2	6.1	2.5
3	6.7	5	1.7
2.8	6.8	4.8	1.4
2.9	6.3	5.6	1.8
2.8	5.8	5.1	2.4
2.7	6	5.1	1.6
2.5	6.3	4.9	1.5
2.8	6.4	5.6	2.1
2.7	6.3	4.9	1.8
3	5.9	5.1	1.8
3.1	6.9	5.4	2.1
3	6.5	5.8	2.2
3.4	6.3	5.6	2.4
3.2	6.4	5.3	2.3
3.3	6.7	5.7	2.5
3.1	6.7	4.7	1.5
3	6.7	5.2	2.3
3	6.8	5.5	2.1
2.8	6.4	5.6	2.2
2.7	5.8	5.1	1.9
2.8	7.7	6.7	2
3	6.5	5.2	2
3	7.2	5.8	1.6
3.2	5.9	4.8	1.8
3.2	6.5	5.1	2
3.1	6.4	5.5	1.8
3	6	4.8	1.8
3.8	7.9	6.4	2
3.2	6.9	5.7	2.3
3.3	6.3	6	2.5
2.5	6.7	5.8	1.8
2.6	6.1	5.6	1.4
3.2	6.8	5.9	2.3
3.1	6.9	5.1	2.3
2.8	6.3	5.1	1.5
3.4	6.2	5.4	2.3
2.7	5.8	5.1	1.9
3.3	6.3	4.7	1.6
3	7.1	5.9	2.1
2.7	6.4	5.3	1.9
