8/27/2015	9:33:00	DL	5821	null	null	286	MSP-DFW
8/27/2015	15:00:00	DL	5821	null	null	286	MSP-DFW
8/27/2015	19:20:00	DL	5821	null	null	286	MSP-DFW
8/28/2015	13:00:00	DL	5821	null	null	286	MSP-DFW
8/28/2015	17:10:00	DL	5821	null	null	286	MSP-DFW
8/28/2015	22:20:00	DL	5821	null	null	286	MSP-DFW
8/29/2015	10:40:00	DL	5821	null	null	286	MSP-DFW
8/29/2015	18:15:00	DL	5821	null	null	286	MSP-DFW
8/30/2015	11:45:00	DL	5821	null	null	286	MSP-DFW
8/30/2015	18:40:00	DL	5821	null	null	286	MSP-DFW
8/31/2015	7:40:00	DL	5821	null	null	286	MSP-DFW
8/31/2015	7:40:00	AA	309	null	null	421	MSP-MIA
8/31/2015	7:40:00	AA	1405 and 1239	null	null	282	MSP-SEA
8/31/2015	12:50:00	DL	5821	null	null	286	MSP-DFW
8/31/2015	12:50:00	AA	309	null	null	421	MSP-MIA
8/31/2015	12:50:00	AA	1405 and 1239	null	null	282	MSP-SEA
8/31/2015	23:30:00	DL	5821	null	null	292	MSP-DFW
8/31/2015	23:30:00	AA	309	null	null	421	MSP-MIA
8/31/2015	23:30:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/1/2015	15:10:00	DL	5821	null	null	214	MSP-DFW
9/1/2015	15:10:00	AA	309	null	null	421	MSP-MIA
9/1/2015	15:10:00	AA	1405 and 1239	null	null	310	MSP-SEA
9/1/2015	20:30:00	DL	5821	null	null	208	MSP-DFW
9/1/2015	20:30:00	AA	309	null	null	421	MSP-MIA
9/1/2015	20:30:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/2/2015	9:00:00	DL	5821	null	null	286	MSP-DFW
9/2/2015	9:00:00	AA	309	null	null	402	MSP-MIA
9/2/2015	9:00:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/2/2015	17:30:00	DL	5821	null	null	286	MSP-DFW
9/2/2015	17:30:00	AA	309	null	null	402	MSP-MIA
9/2/2015	17:30:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/2/2015	21:15:00	DL	5821	null	null	286	MSP-DFW
9/2/2015	21:15:00	AA	309	null	null	368	MSP-MIA
9/2/2015	21:15:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/3/2015	9:35:00	DL	5821	null	null	284	MSP-DFW
9/3/2015	9:35:00	AA	309	null	null	368	MSP-MIA
9/3/2015	9:35:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/3/2015	18:00:00	DL	5821	null	null	284	MSP-DFW
9/3/2015	18:00:00	AA	309	null	null	293	MSP-MIA
9/3/2015	18:00:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/3/2015	22:40:00	DL	5821	null	null	284	MSP-DFW
9/3/2015	22:40:00	AA	309	null	null	293	MSP-MIA
9/3/2015	22:40:00	AA	1405 and 1239	null	null	282	MSP-SEA
9/4/2015	11:45:00	DL	5821	null	null	284	MSP-DFW
9/4/2015	11:45:00	AA	309	null	null	293	MSP-MIA
9/4/2015	11:45:00	AA	1405 and 1239	null	null	302	MSP-SEA
9/4/2015	20:45:00	DL	5821	null	null	284	MSP-DFW
9/4/2015	20:45:00	AA	309	null	null	293	MSP-MIA
9/4/2015	20:45:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/4/2015	23:55:00	DL	5821	null	null	284	MSP-DFW
9/4/2015	23:55:00	AA	309	null	null	293	MSP-MIA
9/4/2015	23:55:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/5/2015	13:30:00	DL	5821	null	null	284	MSP-DFW
9/5/2015	13:30:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/5/2015	17:40:00	DL	5821	null	null	284	MSP-DFW
9/5/2015	17:40:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/5/2015	21:35:00	DL	5821	null	null	284	MSP-DFW
9/5/2015	21:35:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/6/2015	13:00:00	DL	5821	null	null	284	MSP-DFW
9/6/2015	13:00:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/6/2015	18:00:00	DL	5821	null	null	208	MSP-DFW
9/6/2015	18:00:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/6/2015	19:20:00	DL	5821	null	null	284	MSP-DFW
9/6/2015	19:20:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/6/2015	21:00:00	DL	5821	null	null	208	MSP-DFW
9/6/2015	21:00:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/6/2015	23:55:00	DL	5821	null	null	208	MSP-DFW
9/6/2015	23:55:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/8/2015	2:35:00	DL	5821	null	null	284	MSP-DFW
9/8/2015	2:35:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/9/2015	15:00:00	DL	5821	null	null	284	MSP-DFW
9/9/2015	15:00:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/9/2015	20:00:00	DL	5821	null	null	284	MSP-DFW
9/9/2015	20:00:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/10/2015	12:20:00	DL	5821	null	null	199	MSP-DFW
9/10/2015	12:20:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/10/2015	20:40:00	DL	5821	null	null	199	MSP-DFW
9/10/2015	20:40:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/11/2015	11:20:00	DL	5821	null	null	199	MSP-DFW
9/11/2015	11:20:00	AA	1405 and 1239	null	null	311	MSP-SEA
9/12/2015	13:30:00	DL	5821	DL	3682	219	MSP-DFW
9/12/2015	13:30:00	AS	39	AS	28	277	MSP-SEA
9/12/2015	18:00:00	DL	5821	DL	3682	219	MSP-DFW
9/12/2015	18:00:00	AS	39	AS	28	227	MSP-SEA
9/12/2015	23:00:00	DL	5821	DL	3682	219	MSP-DFW
9/12/2015	23:00:00	AS	39	AS	28	227	MSP-SEA
9/13/2015	12:00:00	DL	5821	DL	3682	219	MSP-DFW
9/13/2015	12:00:00	AS	39	AS	28	277	MSP-SEA
9/13/2015	16:00:00	DL	5821	DL	3682	219	MSP-DFW
9/13/2015	16:00:00	AS	39	AS	28	277	MSP-SEA
9/13/2015	20:30:00	DL	5821	DL	3682	219	MSP-DFW
9/13/2015	20:30:00	AS	39	AS	28	277	MSP-SEA
9/14/2015	9:40:00	DL	5821	DL	3682	346	MSP-DFW
9/14/2015	9:40:00	AS	39	AS	28	277	MSP-SEA
9/14/2015	13:25:00	DL	5821	DL	3682	346	MSP-DFW
9/14/2015	13:25:00	AS	39	AS	28	277	MSP-SEA
9/14/2015	17:40:00	DL	5821	DL	3682	346	MSP-DFW
9/14/2015	17:40:00	AS	39	AS	28	277	MSP-SEA
9/15/2015	14:00:00	DL	5821	DL	3682	346	MSP-DFW
9/15/2015	14:00:00	AS	39	AS	28	280	MSP-SEA
9/15/2015	17:40:00	DL	5821	DL	3682	346	MSP-DFW
9/15/2015	17:40:00	AS	39	AS	28	280	MSP-SEA
