0.999999
1	-0.31831	-1e-006
2	-0.159155	-1e-006
3	-0.106103	-1e-006
4	-0.0795775	-1e-006
5	-0.063662	-1e-006
6	-0.0530516	-1e-006
7	-0.0454728	-1e-006
8	-0.0397887	-1e-006
9	-0.0353678	-1e-006
10	-0.031831	-1e-006
11	-0.0289373	-1e-006
12	-0.0265258	-1e-006
13	-0.0244854	-1e-006
14	-0.0227364	-1e-006
15	-0.0212207	-1e-006

1.75
1	0.0795775	2.5e-007
2	0.0397887	2.5e-007
3	0.0265258	2.5e-007
4	0.0198944	2.5e-007
5	0.0159155	2.5e-007
6	0.0132629	2.5e-007
7	0.0113682	2.5e-007
8	0.00994718	2.5e-007
9	0.00884194	2.5e-007
10	0.00795775	2.5e-007
11	0.00723432	2.5e-007
12	0.00663146	2.5e-007
13	0.00612134	2.5e-007
14	0.00568411	2.5e-007
15	0.00530516	2.5e-007

0.75
1	0.225079	0.0932315
2	-0.159152	-0.477466
3	-0.0750247	-0.18113
4	0.159155	2e-006
5	-0.0450175	0.108677
6	-0.0530546	0.159154
7	0.0321544	-0.013318
8	3.31824e-015	-2.21531e-014
9	0.0250085	0.0103597
10	-0.031828	-0.095494
11	-0.02046	-0.0493997
12	0.0530516	2e-006
13	-0.0173155	0.0417984
14	-0.0227394	0.0682083
15	0.0150056	-0.00621468

